"filename", "language", "PHP", "JSON", "Markdown", "comment", "blank", "total"
"c:\OSPanel\domains\project\README.md", "Markdown", 0, 0, 3, 0, 0, 3
"c:\OSPanel\domains\project\Student.php", "PHP", 79, 0, 0, 0, 1, 80
"c:\OSPanel\domains\project\auth.php", "PHP", 48, 0, 0, 0, 5, 53
"c:\OSPanel\domains\project\composer.json", "JSON", 0, 2, 0, 0, 1, 3
"c:\OSPanel\domains\project\composer.lock", "JSON", 0, 18, 0, 0, 1, 19
"c:\OSPanel\domains\project\controller.php", "PHP", 107, 0, 0, 0, 5, 112
"c:\OSPanel\domains\project\edit.php", "PHP", 31, 0, 0, 0, 5, 36
"c:\OSPanel\domains\project\formData.php", "PHP", 32, 0, 0, 0, 1, 33
"c:\OSPanel\domains\project\index.php", "PHP", 111, 0, 0, 9, 5, 125
"c:\OSPanel\domains\project\model.php", "PHP", 96, 0, 0, 0, 7, 103
"c:\OSPanel\domains\project\save_user.php", "PHP", 0, 0, 0, 0, 1, 1
"c:\OSPanel\domains\project\vendor\autoload.php", "PHP", 20, 0, 0, 1, 5, 26
"c:\OSPanel\domains\project\vendor\composer\ClassLoader.php", "PHP", 286, 0, 0, 235, 59, 580
"c:\OSPanel\domains\project\vendor\composer\InstalledVersions.php", "PHP", 178, 0, 0, 133, 49, 360
"c:\OSPanel\domains\project\vendor\composer\autoload_classmap.php", "PHP", 6, 0, 0, 1, 4, 11
"c:\OSPanel\domains\project\vendor\composer\autoload_namespaces.php", "PHP", 5, 0, 0, 1, 4, 10
"c:\OSPanel\domains\project\vendor\composer\autoload_psr4.php", "PHP", 5, 0, 0, 1, 4, 10
"c:\OSPanel\domains\project\vendor\composer\autoload_real.php", "PHP", 24, 0, 0, 4, 9, 37
"c:\OSPanel\domains\project\vendor\composer\autoload_static.php", "PHP", 14, 0, 0, 1, 6, 21
"c:\OSPanel\domains\project\vendor\composer\installed.json", "JSON", 0, 5, 0, 0, 1, 6
"c:\OSPanel\domains\project\vendor\composer\installed.php", "PHP", 23, 0, 0, 0, 1, 24
"c:\OSPanel\domains\project\viewer.php", "PHP", 49, 0, 0, 0, 3, 52
"Total", "-", 1114, 25, 3, 386, 177, 1705